encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,encoder_block_types,decoder_block_types,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
640,6,1365.333333,4,640,1,3072,4,8,3,self_attention+lightweight_conv-->lightweight_shiftadd-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_conv-->,self_attention+lightweight_add-->,5.526347995,51.96393204,0.031528685,3.762391084
640,6,1706.666667,4,640,1,2048,8,2,1,lightweight_shiftadd-->lightweight_add-->self_attention-->lightweight_shiftadd-->self_attention+lightweight_conv-->lightweight_conv-->,lightweight_add-->,4.513595968,29.73338795,0.008243051,0.082432849
512,6,1536,4.666666667,640,4,2176,5.5,3,2,self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_add-->lightweight_shiftadd-->lightweight_add-->,self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_conv-->lightweight_shiftadd-->,5.323396057,146.7219048,0.021380676,5.296305258
640,6,2133.333333,5.666666667,512,4,2048,4.5,2.5,2,lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention-->,self_attention+lightweight_add-->self_attention-->lightweight_shiftadd-->self_attention+lightweight_add-->,5.470773965,147.560791,0.01318626,4.936495331
640,6,1109.333333,6.333333333,512,3,682.6666667,2.666666667,8,1.666666667,self_attention+lightweight_add-->lightweight_add-->self_attention-->lightweight_add-->lightweight_add-->self_attention-->,self_attention+lightweight_conv-->self_attention+lightweight_conv-->lightweight_conv-->,4.199330002,109.9607606,0.019466601,4.947660369
512,6,1024,2.666666667,512,2,1536,6,2,2,self_attention-->lightweight_conv-->self_attention+lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->,lightweight_shiftadd-->lightweight_add-->,5.627098024,59.88736939,0.429580308,0.07637693
512,6,1621.333333,4.333333333,512,4,1152,4,2.5,2,lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_shiftadd-->lightweight_conv-->lightweight_shiftadd-->lightweight_conv-->,self_attention+lightweight_shiftadd-->lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_conv-->,4.591764033,168.0689907,0.008440618,6.938552978
512,6,1877.333333,4.666666667,640,2,1280,3,3,2,self_attention+lightweight_shiftadd-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->lightweight_shiftadd-->self_attention-->self_attention-->,lightweight_conv-->lightweight_shiftadd-->,5.836668044,59.58885813,0.517499864,0.853195001
640,6,2048,4.666666667,640,1,512,4,8,3,self_attention+lightweight_add-->lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->,lightweight_shiftadd-->,5.896772027,37.44296193,0.012017414,0.610187724
640,6,1450.666667,3.333333333,512,4,1792,4,5.5,2.5,lightweight_shiftadd-->lightweight_conv-->self_attention+lightweight_add-->self_attention-->lightweight_conv-->self_attention+lightweight_add-->,self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_add-->self_attention-->,5.661985993,151.0881557,0.034977146,6.457784662
512,6,2048,4.666666667,640,3,1536,8,4.666666667,2,lightweight_conv-->self_attention+lightweight_add-->lightweight_conv-->lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_add-->,lightweight_add-->self_attention-->self_attention+lightweight_conv-->,4.686800033,98.52608871,0.068203067,0.853527895
640,6,1194.666667,2.666666667,640,2,2560,5,8,1.5,self_attention+lightweight_add-->lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->lightweight_conv-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->,5.368395984,102.6815038,0.006069051,5.615433031
