encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
512,6,1365.3333333333333,3.3333333333333335,640,3,1536.0,3.3333333333333335,4.666666666666667,2.0,12.429952621459961,229.99119758605957,0.0,0.0
512,6,1536.0,4.333333333333333,640,1,3072.0,8.0,4.0,1.0,13.646125793457031,114.3028736114502,0.0,0.0
640,6,1536.0,4.0,512,3,1194.6666666666667,4.666666666666667,5.333333333333333,2.3333333333333335,17.839670181274414,324.44071769714355,0.0,0.0
640,6,1194.6666666666667,4.0,512,1,512.0,8.0,2.0,3.0,16.569137573242188,132.55929946899414,0.0,0.0
640,6,938.6666666666666,5.0,640,3,1365.3333333333333,4.666666666666667,6.0,2.0,17.103910446166992,325.07896423339844,0.0,0.0
512,6,1365.3333333333333,3.3333333333333335,640,4,2304.0,5.5,5.5,1.75,15.746831893920898,431.7457675933838,0.0,0.0
640,6,2389.3333333333335,7.0,512,4,2304.0,4.0,4.5,1.75,16.3576602935791,301.2356758117676,0.0,0.0
512,6,1365.3333333333333,7.333333333333333,512,1,512.0,2.0,4.0,3.0,12.866973876953125,95.80254554748535,0.0,0.0
640,6,2218.6666666666665,2.6666666666666665,640,6,1621.3333333333333,5.0,4.0,1.8333333333333333,15.444278717041016,419.4831848144531,0.0,0.0
640,6,1792.0,6.333333333333333,512,5,1024.0,4.4,6.0,2.4,14.467477798461914,369.8158264160156,0.0,0.0
512,6,1962.6666666666667,4.0,640,6,1877.3333333333333,5.0,5.0,1.8333333333333333,13.43536376953125,520.8802223205566,0.0,0.0
640,6,1450.6666666666667,4.333333333333333,512,3,1365.3333333333333,4.0,4.666666666666667,2.6666666666666665,13.293981552124023,271.9552516937256,0.0,0.0
640,6,1792.0,5.666666666666667,512,3,2218.6666666666665,6.0,4.666666666666667,2.0,15.13981819152832,328.23705673217773,0.0,0.0
512,6,1877.3333333333333,4.0,640,6,1962.6666666666667,4.0,3.6666666666666665,2.5,12.75181770324707,483.64782333374023,0.0,0.0
512,6,1194.6666666666667,3.3333333333333335,640,1,512.0,2.0,4.0,3.0,13.427972793579102,123.10791015625,0.0,0.0
640,6,1792.0,4.0,512,3,853.3333333333334,3.3333333333333335,8.0,1.6666666666666667,15.465021133422852,248.55923652648926,0.0,0.0
640,6,1962.6666666666667,3.6666666666666665,640,5,1945.6,2.8,4.0,2.0,18.476247787475586,424.55148696899414,0.0,0.0
640,6,1365.3333333333333,3.3333333333333335,512,6,1109.3333333333333,4.333333333333333,5.333333333333333,1.8333333333333333,16.1285400390625,537.8305912017822,0.0,0.0
640,6,2389.3333333333335,5.666666666666667,512,3,1194.6666666666667,6.666666666666667,6.0,3.0,24.100303649902344,305.8149814605713,0.0,0.0
512,6,1792.0,5.0,512,5,1945.6,6.0,5.2,2.0,16.935110092163086,616.2154674530029,0.0,0.0
640,6,1877.3333333333333,4.0,512,6,1877.3333333333333,5.666666666666667,5.0,2.3333333333333335,18.906354904174805,523.3349800109863,0.0,0.0
512,6,2560.0,4.333333333333333,512,2,3072.0,3.0,2.0,2.0,15.193700790405273,174.45826530456543,0.0,0.0
512,6,1877.3333333333333,5.333333333333333,512,5,1945.6,4.0,3.2,2.2,13.623952865600586,363.1620407104492,0.0,0.0
512,6,2389.3333333333335,4.0,640,4,1792.0,5.0,5.5,2.25,13.76962661743164,359.1787815093994,0.0,0.0
512,6,1024.0,6.0,512,4,1664.0,4.0,5.5,2.0,13.326883316040039,334.1982364654541,0.0,0.0
640,6,1536.0,4.333333333333333,640,4,1920.0,6.5,2.5,1.75,13.245820999145508,344.7420597076416,0.0,0.0
