encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,encoder_block_types,decoder_block_types,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
768,6,3242.6666666666665,14.0,1024,6,1536.0,8.666666666666666,12.666666666666666,1.3333333333333333,lightweight_conv-->self_attention+lightweight_conv-->lightweight_add-->lightweight_add-->lightweight_add-->self_attention+lightweight_add-->,self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_conv-->self_attention-->self_attention+lightweight_add-->self_attention-->,4.794175952672958,225.71711921691895,0.006241530674474727,0.3862465760183609
512,6,2389.3333333333335,7.333333333333333,1024,1,2048.0,8.0,8.0,2.0,self_attention+lightweight_conv-->lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->lightweight_conv-->self_attention+lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->,5.873279958963394,57.56179237365723,0.03054649158636907,0.08640984219906922
1024,6,2218.6666666666665,6.666666666666667,512,1,2048.0,8.0,8.0,1.0,self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->lightweight_conv-->lightweight_shiftadd-->,self_attention-->,5.9538560807704926,36.92588829994202,0.010973491480311922,0.04695225414692605
1024,6,3413.3333333333335,8.0,768,1,3072.0,8.0,4.0,2.0,self_attention+lightweight_add-->self_attention-->self_attention-->self_attention+lightweight_add-->self_attention-->self_attention+lightweight_conv-->,self_attention-->,5.617983907461166,38.311935901641846,0.005934826398229728,0.05925411395811427
1024,6,2560.0,9.333333333333334,512,6,2389.3333333333335,11.333333333333334,8.666666666666666,1.6666666666666667,lightweight_conv-->lightweight_shiftadd-->self_attention-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->,self_attention-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->,5.842175990343094,260.1480312347412,0.014347484878197798,0.5834309315826064
1024,6,3242.6666666666665,8.666666666666666,512,3,2730.6666666666665,6.666666666666667,9.333333333333334,2.0,self_attention+lightweight_conv-->lightweight_conv-->lightweight_add-->lightweight_conv-->self_attention-->lightweight_conv-->,self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->,4.38988795876503,140.095232963562,0.009021985322799454,0.150464867116529
512,6,2218.6666666666665,8.666666666666666,512,5,1638.4,5.6,8.0,2.2,self_attention-->lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_conv-->lightweight_conv-->lightweight_conv-->,self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_add-->self_attention+lightweight_conv-->self_attention+lightweight_add-->,4.567808032035828,217.97708702087402,0.006873952979194328,0.23567609730164168
768,6,1706.6666666666667,12.0,512,3,2048.0,5.333333333333333,9.333333333333334,1.6666666666666667,self_attention+lightweight_conv-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_shiftadd-->self_attention+lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_conv-->,6.943423956632614,127.59667253494263,0.02537822355939525,0.27073353547583556
512,6,2218.6666666666665,8.666666666666666,1024,6,2389.3333333333335,8.0,11.333333333333334,1.5,self_attention+lightweight_shiftadd-->self_attention+lightweight_add-->lightweight_add-->self_attention-->self_attention+lightweight_shiftadd-->self_attention+lightweight_shiftadd-->,self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->self_attention+lightweight_conv-->self_attention+lightweight_conv-->self_attention+lightweight_shiftadd-->,6.394559919834137,280.35711669921875,0.0056403819553846905,0.5815663566218385
1024,6,3072.0,10.0,1024,6,2048.0,10.666666666666666,10.666666666666666,2.3333333333333335,self_attention+lightweight_conv-->lightweight_conv-->lightweight_add-->self_attention+lightweight_shiftadd-->lightweight_add-->lightweight_shiftadd-->,self_attention-->self_attention-->self_attention+lightweight_shiftadd-->self_attention-->self_attention+lightweight_add-->self_attention+lightweight_shiftadd-->,5.207168012857437,238.87737655639648,0.022739049695699027,0.4883513958285768
